author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
Астра;https://ekb.cian.ru/sale/flat/287619705/;Екатеринбург;sale;flat;8;19;3;66.57;6657000;2024;-1;-1;+73432261670;Октябрьский;Шолохова;Ботаническая;Парк комплекс Шолохов
TEN девелопмент;https://ekb.cian.ru/sale/flat/279922683/;Екатеринбург;sale;flat;23;25;2;49.7;6722000;2025;29.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
Ривьера-Инвест-Екб;https://ekb.cian.ru/sale/flat/292442970/;Екатеринбург;sale;flat;4;21;2;62.7;6708900;2024;-1;-1;+73432261713;Орджоникидзевский;Орловская;Уралмаш;Белая башня
Atlas Development;https://ekb.cian.ru/sale/flat/286769482/;Екатеринбург;sale;flat;3;31;1;32.1;6795191;2024;10.0;10.0;+73432261669;Октябрьский;Шатурская;Ботаническая;4YOU
Брусника;https://ekb.cian.ru/sale/flat/283977058/;Екатеринбург;sale;flat;8;9;2;57.74;6890000;2024;18.0;16.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
Виктория;https://ekb.cian.ru/sale/flat/285873987/;Екатеринбург;sale;flat;15;24;2;64.4;6890800;2024;23.0;-1;+73432261703;Чкаловский;;Ботаническая;Рижский ЖК
Астра;https://ekb.cian.ru/sale/flat/274995685/;Екатеринбург;sale;flat;8;23;3;70.7;6801340;2024;-1;-1;+73432261634;;;Чкаловская;
АТОМ;https://ekb.cian.ru/sale/flat/286803113/;Екатеринбург;sale;flat;23;29;1;42.18;6850000;2026;-1;-1;+73432261667;Верх-Исетский;переулок Ударников;Площадь 1905 года;REPIN TOWERS
ЖилСтрой;https://ekb.cian.ru/sale/flat/288960536/;Екатеринбург;sale;flat;14;25;2;59.82;6870000;2025;29.0;-1;+73432261630;;;Чкаловская;Горки ЖК
;https://ekb.cian.ru/sale/flat/290017486/;Екатеринбург;sale;flat;14;25;2;59.82;6870000;2025;-1;-1;+73432261623;;;Чкаловская;Горки ЖК
Союз;https://ekb.cian.ru/sale/flat/291725693/;Екатеринбург;sale;flat;4;25;2;58.48;6832000;2024;28.0;11.0;+73432261738;;;Чкаловская;
СКМ Девелопмент;https://ekb.cian.ru/sale/flat/286705051/;Екатеринбург;sale;flat;9;12;1;41.85;6800000;2026;12.0;-1;+73432261668;Верх-Исетский;переулок Ударников;Площадь 1905 года;REPIN TOWERS
TETRIS Group;https://ekb.cian.ru/sale/flat/293264338/;Екатеринбург;sale;flat;13;26;3;56.47;6827870;2025;-1;17.0;+73432260995;Орджоникидзевский;Жилой Моменты кв-л;Проспект Космонавтов;Квартал Моменты на Космонавтов
Арсенал и К;https://ekb.cian.ru/sale/flat/293314493/;Екатеринбург;sale;flat;1;4;3;72.0;6804000;2023;57.0;5.0;+73432261649;;;Проспект Космонавтов;
Синара–Девелопмент;https://ekb.cian.ru/sale/flat/291243260/;Екатеринбург;sale;flat;14;25;1;33.93;6892000;2024;10.0;13.0;+73432261704;Чкаловский;;Чкаловская;Ботаника Грин Хаус ЖК
Прогресс;https://ekb.cian.ru/sale/flat/276808934/;Екатеринбург;sale;flat;16;24;1;43.96;6854000;2025;-1;19.0;+73432261625;;;Чкаловская;
Диал;https://ekb.cian.ru/sale/flat/290500330/;Екатеринбург;sale;flat;24;25;3;76.0;6880000;2022;41.0;18.0;+79120301868;Орджоникидзевский;проспект Космонавтов;Проспект Космонавтов;Новатор
Виктория;https://ekb.cian.ru/sale/flat/285873713/;Екатеринбург;sale;flat;7;24;2;64.7;6922900;2024;23.0;-1;+73432261703;Чкаловский;;Ботаническая;Рижский ЖК
Клевер-Групп;https://ekb.cian.ru/sale/flat/292472359/;Екатеринбург;sale;flat;15;16;3;72.71;6907450;2024;-1;-1;+73432261638;;;Проспект Космонавтов;Покровский парк ЖК
ПИК;https://ekb.cian.ru/sale/flat/285820583/;Екатеринбург;sale;flat;15;16;2;50.4;6940080;2025;20.0;17.0;+73432261629;Железнодорожный;;Уральская;Космонавтов 11 ЖК
Астон;https://ekb.cian.ru/sale/flat/292150427/;Екатеринбург;sale;flat;4;25;2;58.99;6900000;2024;24.0;-1;+73432261873;Орджоникидзевский;;Уралмаш;Астон.Время ЖК
АТОМ;https://ekb.cian.ru/sale/flat/292494120/;Екатеринбург;sale;flat;6;9;2;63.97;6900000;2025;-1;-1;+73432261680;Чкаловский;;Ботаническая;Северный Химмаш ЖК
РСГ-Академическое;https://ekb.cian.ru/sale/flat/291994961/;Екатеринбург;sale;flat;9;15;2;63.8;6930154;2022;-1;-1;+73432261708;;;Чкаловская;
Астон;https://ekb.cian.ru/sale/flat/290245263/;Екатеринбург;sale;flat;20;25;2;58.31;6910000;2024;24.0;-1;+73432261873;Орджоникидзевский;;Уралмаш;Астон.Время ЖК
Астра;https://ekb.cian.ru/sale/flat/290232267/;Екатеринбург;sale;flat;20;31;1;37.15;6947050;2025;-1;-1;+73432261783;Верх-Исетский;Юго-Западный жилрайон;Площадь 1905 года;Даблхаус 1:1
ПИК;https://ekb.cian.ru/sale/flat/291240290/;Екатеринбург;sale;flat;4;16;2;52.9;6924610;2025;23.0;18.0;+73432261629;Железнодорожный;;Уральская;Космонавтов 11 ЖК
;https://ekb.cian.ru/sale/flat/280947983/;Екатеринбург;sale;flat;10;17;2;59.1;6985600;2024;-1;-1;+73432261792;Ленинский;Краснолесья;Чкаловская;Ньютон Парк
;https://ekb.cian.ru/sale/flat/280948100/;Екатеринбург;sale;flat;6;17;2;60.7;6980500;2024;-1;-1;+73432261792;Ленинский;Краснолесья;Чкаловская;Ньютон Парк
Клевер-Групп;https://ekb.cian.ru/sale/flat/292302950/;Екатеринбург;sale;flat;7;16;3;78.54;6990060;2024;-1;-1;+73432261638;;;Проспект Космонавтов;Покровский парк ЖК
АТОМ;https://ekb.cian.ru/sale/flat/293248847/;Екатеринбург;sale;flat;7;9;1;43.24;6950000;2025;-1;-1;+73432261798;Орджоникидзевский;;Уралмаш;Северное Сияние ЖК
ЛСР. Недвижимость;https://ekb.cian.ru/sale/flat/292830588/;Екатеринбург;sale;flat;23;32;1;39.7;6991170;2026;13.0;16.0;+73432260921;Центр;Челюскинцев;Уральская;
;https://ekb.cian.ru/sale/flat/292407007/;Екатеринбург;sale;flat;2;24;2;55.79;6991000;2025;-1;-1;+73432260972;Верх-Исетский;;;Семейный квартал Дружный ЖК
ПИК;https://ekb.cian.ru/sale/flat/276174816/;Екатеринбург;sale;flat;13;33;3;60.1;6971600;2024;34.0;6.0;+73432261796;Чкаловский;;Ботаническая;Утес ЖК
Правобережный;https://ekb.cian.ru/sale/flat/292963462/;Екатеринбург;sale;flat;10;16;3;76.08;6999360;2024;-1;-1;+73432261751;;;Проспект Космонавтов;
;https://ekb.cian.ru/sale/flat/291769631/;Екатеринбург;sale;flat;10;22;1;46.07;6950000;2024;16.0;18.0;+73432261715;Кировский;;Уральская;Теплые Кварталы ЖК
;https://ekb.cian.ru/sale/flat/291521570/;Екатеринбург;sale;flat;19;25;2;62.07;6977700;2023;26.0;16.0;+73432261752;Чкаловский;;Ботаническая;Ривер Парк ЖК
Стройтэк;https://ekb.cian.ru/sale/flat/279647244/;Екатеринбург;sale;flat;2;32;1;36.71;6976922;2023;12.0;14.0;+73432261693;Орджоникидзевский;проспект Космонавтов;Машиностроителей;Атмосфера
Брусника;https://ekb.cian.ru/sale/flat/288346388/;Екатеринбург;sale;flat;9;9;-1;202.0;7050000;2024;-1;-1;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
АТОМ;https://ekb.cian.ru/sale/flat/292767408/;Екатеринбург;sale;flat;19;22;1;45.18;7000000;2025;-1;-1;+73432261798;Орджоникидзевский;;Уралмаш;Северное Сияние ЖК
АТОМ;https://ekb.cian.ru/sale/flat/284311877/;Екатеринбург;sale;flat;25;26;2;62.86;7000000;2024;-1;-1;+73432261849;;;Чкаловская;Нова парк ЖК
;https://ekb.cian.ru/sale/flat/291521554/;Екатеринбург;sale;flat;7;25;2;65.9;7069500;2023;25.0;19.0;+73432261752;Чкаловский;;Ботаническая;Ривер Парк ЖК
ПИК;https://ekb.cian.ru/sale/flat/285061643/;Екатеринбург;sale;flat;6;24;2;45.4;7091480;2025;20.0;14.0;+73432261718;Октябрьский;Южный жилрайон;Ботаническая;Исеть Парк ЖК
;https://ekb.cian.ru/sale/flat/280947874/;Екатеринбург;sale;flat;11;17;2;55.4;7035800;2024;-1;-1;+73432261792;Ленинский;Краснолесья;Чкаловская;Ньютон Парк
РС-Девелопмент;https://ekb.cian.ru/sale/flat/292492227/;Екатеринбург;sale;flat;15;18;2;52.6;7064627;2025;-1;-1;+73432260930;Кировский;Александровская;Машиностроителей;Жилой дом 
Астра;https://ekb.cian.ru/sale/flat/282486757/;Екатеринбург;sale;flat;2;23;3;76.77;7024455;2025;-1;-1;+73432261727;Чкаловский;;Ботаническая;Аура ЖК
Ривьера-Инвест-Екб;https://ekb.cian.ru/sale/flat/291701784/;Екатеринбург;sale;flat;6;25;1;43.8;7051800;2024;-1;-1;+73432261710;Железнодорожный;;Уральская;Космос ЖК
45-й квартал;https://ekb.cian.ru/sale/flat/287668482/;Екатеринбург;sale;flat;2;4;2;52.0;7072000;2023;-1;-1;+73432261856;Ленинский;;Чкаловская;Твоя Привилегия ЖК
Стройтэк;https://ekb.cian.ru/sale/flat/284347300/;Екатеринбург;sale;flat;6;18;2;59.54;7000000;2024;27.0;16.0;+73432261797;Железнодорожный;Сортировочный жилрайон;Уральская;Абрикос ЖК
РСГ-Академическое;https://ekb.cian.ru/sale/flat/285595964/;Екатеринбург;sale;flat;6;9;2;67.6;7039267;2025;-1;-1;+73432261766;;;Чкаловская;Первый Академ ЖК
Эталон;https://ekb.cian.ru/sale/flat/292658921/;Екатеринбург;sale;flat;3;16;2;66.32;7102129;2025;26.0;18.0;+73432261671;Чкаловский;;Ботаническая;Жилой район Солнечный
АТОМ;https://ekb.cian.ru/sale/flat/286803133/;Екатеринбург;sale;flat;27;29;1;43.26;7100000;2026;-1;-1;+73432261667;Верх-Исетский;переулок Ударников;Площадь 1905 года;REPIN TOWERS
;https://ekb.cian.ru/sale/flat/290017479/;Екатеринбург;sale;flat;14;25;2;62.59;7115000;2025;-1;-1;+73432261623;;;Чкаловская;Горки ЖК
Эталон;https://ekb.cian.ru/sale/flat/292808364/;Екатеринбург;sale;flat;17;17;2;43.78;7131257;2024;23.0;6.0;+73432261761;Октябрьский;Южный жилрайон;Ботаническая;Суомен Ранта ЖК
Ривьера-Инвест-Екб;https://ekb.cian.ru/sale/flat/291307863/;Екатеринбург;sale;flat;2;21;2;64.6;7106000;2024;-1;-1;+73432261713;Орджоникидзевский;Орловская;Уралмаш;Белая башня
Брусника;https://ekb.cian.ru/sale/flat/291269794/;Екатеринбург;sale;flat;6;9;2;61.59;7170000;2024;29.0;20.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
АТОМ;https://ekb.cian.ru/sale/flat/293389926/;Екатеринбург;sale;flat;3;9;2;65.4;7200000;2024;-1;-1;+73432261849;;;Чкаловская;Нова парк ЖК
Стройтэк;https://ekb.cian.ru/sale/flat/279647159/;Екатеринбург;sale;flat;17;32;1;36.45;7194870;2023;13.0;13.0;+73432261693;Орджоникидзевский;проспект Космонавтов;Машиностроителей;Атмосфера
НИКС;https://ekb.cian.ru/sale/flat/293066025/;Екатеринбург;sale;flat;6;25;3;66.44;7215520;2025;-1;-1;+73432260857;;;Чкаловская;
UP;https://ekb.cian.ru/sale/flat/293609169/;Екатеринбург;sale;flat;5;25;2;58.66;7158808;2024;13.0;17.0;+73432260931;Орджоникидзевский;;Проспект Космонавтов;Изумрудный Бор ЖК
Астра;https://ekb.cian.ru/sale/flat/265883491/;Екатеринбург;sale;flat;3;19;2;65.78;7235800;2024;-1;-1;+73432261709;Верх-Исетский;;Площадь 1905 года;Новый ВИЗ ЖК
;https://ekb.cian.ru/sale/flat/289851174/;Екатеринбург;sale;flat;3;18;1;48.9;7188300;2023;12.0;22.0;+73432261673;Ленинский;Печатников;Чкаловская;Московский квартал
Прогресс;https://ekb.cian.ru/sale/flat/276808960/;Екатеринбург;sale;flat;20;24;1;46.0;7190000;2025;-1;24.0;+73432261625;;;Чкаловская;
Ривьера-Инвест-Екб;https://ekb.cian.ru/sale/flat/292284592/;Екатеринбург;sale;flat;24;25;2;60.1;7212000;2023;-1;-1;+73432261736;Чкаловский;2-я Новосибирская;Ботаническая;Южный сад
Брусника;https://ekb.cian.ru/sale/flat/282893267/;Екатеринбург;sale;flat;2;9;2;61.1;7280000;2024;21.0;16.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
Эталон;https://ekb.cian.ru/sale/flat/292717908/;Екатеринбург;sale;flat;6;16;2;65.2;7264476;2025;25.0;19.0;+73432261671;Чкаловский;;Ботаническая;Жилой район Солнечный
;https://ekb.cian.ru/sale/flat/293391540/;Екатеринбург;sale;flat;13;18;1;48.4;7260000;2023;12.0;21.0;+73432261673;Ленинский;Печатников;Чкаловская;Московский квартал
TEN девелопмент;https://ekb.cian.ru/sale/flat/266882848/;Екатеринбург;sale;flat;1;29;1;36.3;7281000;2024;13.0;-1;+73432261633;Центр;Азина;Динамо;Екатерининский парк
Брусника - Екатеринбург;https://ekb.cian.ru/sale/flat/293529387/;Екатеринбург;sale;flat;2;17;2;70.8;7290000;2024;23.0;22.0;+73432261628;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
НКС-Девелопмент;https://ekb.cian.ru/sale/flat/293137712/;Екатеринбург;sale;flat;1;25;3;75.11;7270000;2025;-1;-1;+73432260956;;;Чкаловская;Добрый ЖК
Астра;https://ekb.cian.ru/sale/flat/265883354/;Екатеринбург;sale;flat;13;26;2;61.31;7265235;2024;-1;-1;+73432261709;Верх-Исетский;;Площадь 1905 года;Новый ВИЗ ЖК
УРАЛКОМПЛЕКТ;https://ekb.cian.ru/sale/flat/276166165/;Екатеринбург;sale;flat;5;20;2;77.7;7261000;2023;36.0;13.0;+73432261624;Чкаловский;Рощинская;Ботаническая;Огни Исети
Atlas Development;https://ekb.cian.ru/sale/flat/292173642/;Екатеринбург;sale;flat;23;31;1;37.3;7288967;2024;9.0;11.0;+73432261669;Октябрьский;Шатурская;Ботаническая;4YOU
TEN девелопмент;https://ekb.cian.ru/sale/flat/292251562/;Екатеринбург;sale;flat;13;25;1;41.7;7319000;2023;14.0;15.0;+73432261745;Чкаловский;;Чкаловская;Ботаника Лайф ЖК
Новосёл;https://ekb.cian.ru/sale/flat/293744226/;Екатеринбург;sale;flat;19;19;2;60.0;7300000;2010;24.0;20.0;+79122913369;Ленинский;Краснолесья;Чкаловская;
;https://ekb.cian.ru/sale/flat/290167549/;Екатеринбург;sale;flat;23;32;2;54.1;7303500;2024;-1;-1;+73432261637;Орджоникидзевский;переулок Сосновый;Проспект Космонавтов;Парк Победы
Правобережный;https://ekb.cian.ru/sale/flat/293515302/;Екатеринбург;sale;flat;9;12;2;60.58;7330180;2024;-1;-1;+73432261832;Орджоникидзевский;;Проспект Космонавтов;Мир Труд Май ЖК
Астон;https://ekb.cian.ru/sale/flat/293696493/;Екатеринбург;sale;flat;19;31;1;42.1;7336300;2023;-1;-1;+73432261743;Ленинский;Амундсена;Чкаловская;Астон. Событие
Принцип недвижимость;https://ekb.cian.ru/sale/flat/293637902/;Екатеринбург;sale;flat;16;18;3;69.0;7300000;2014;43.0;9.0;+79827408414;Железнодорожный;Дружининская;Уралмаш;
Эталон;https://ekb.cian.ru/sale/flat/289053418/;Екатеринбург;sale;flat;10;16;2;63.17;7383488;2025;23.0;21.0;+73432261671;Чкаловский;;Ботаническая;Жилой район Солнечный
45-й квартал;https://ekb.cian.ru/sale/flat/288664471/;Екатеринбург;sale;flat;4;4;2;54.04;7403480;2024;-1;-1;+73432261856;Ленинский;;Чкаловская;Твоя Привилегия ЖК
TEN девелопмент;https://ekb.cian.ru/sale/flat/293663842/;Екатеринбург;sale;flat;2;29;1;38.2;7412000;2024;11.0;-1;+73432261633;Центр;Азина;Динамо;Екатерининский парк
;https://ekb.cian.ru/sale/flat/283514880/;Екатеринбург;sale;flat;31;32;2;61.3;7356000;2024;-1;-1;+73432261637;Орджоникидзевский;переулок Сосновый;Проспект Космонавтов;Парк Победы
ПИК;https://ekb.cian.ru/sale/flat/285061633/;Екатеринбург;sale;flat;14;24;2;48.6;7416360;2025;20.0;16.0;+73432261718;Октябрьский;Южный жилрайон;Ботаническая;Исеть Парк ЖК
UP;https://ekb.cian.ru/sale/flat/293609548/;Екатеринбург;sale;flat;21;25;2;58.15;7415913;2024;22.0;17.0;+73432260931;Орджоникидзевский;;Проспект Космонавтов;Изумрудный Бор ЖК
TEN девелопмент;https://ekb.cian.ru/sale/flat/292233879/;Екатеринбург;sale;flat;1;25;1;42.7;7465000;2023;15.0;16.0;+73432261745;Чкаловский;;Чкаловская;Ботаника Лайф ЖК
;https://ekb.cian.ru/sale/flat/291314621/;Екатеринбург;sale;flat;1;23;3;77.02;7470940;2025;-1;-1;+73432261725;Чкаловский;;Ботаническая;Аура ЖК
Арсенал и К;https://ekb.cian.ru/sale/flat/293314527/;Екатеринбург;sale;flat;4;4;3;72.6;7486640;2023;59.0;7.0;+73432261649;;;Проспект Космонавтов;
Ривьера-Инвест-Екб;https://ekb.cian.ru/sale/flat/293514818/;Екатеринбург;sale;flat;7;25;2;66.6;7459200;2023;-1;10.0;+73432261065;Орджоникидзевский;проспект Космонавтов;Проспект Космонавтов;Veer Park
Этажи Екатеринбург;https://ekb.cian.ru/sale/flat/292336663/;Екатеринбург;sale;flat;17;17;2;62.0;7490000;2023;-1;16.0;+79090307217;Чкаловский;;Ботаническая;Исетский ЖК
Виктория;https://ekb.cian.ru/sale/flat/285873529/;Екатеринбург;sale;flat;2;24;3;78.7;7555200;2024;38.0;-1;+73432261703;Чкаловский;;Ботаническая;Рижский ЖК
;https://ekb.cian.ru/sale/flat/293906273/;Екатеринбург;sale;flat;5;16;3;86.5;7525500;2025;-1;-1;+73432261883;;;Проспект Космонавтов;
Эталон;https://ekb.cian.ru/sale/flat/291729068/;Екатеринбург;sale;flat;4;16;2;68.09;7507483;2025;26.0;16.0;+73432261671;Чкаловский;;Ботаническая;Жилой район Солнечный
РСГ-Академическое;https://ekb.cian.ru/sale/flat/293370393/;Екатеринбург;sale;flat;8;15;2;60.0;7579880;2021;-1;-1;+73432261708;;;Чкаловская;
Стройтэк;https://ekb.cian.ru/sale/flat/279287037/;Екатеринбург;sale;flat;12;17;2;61.94;7548939;2023;28.0;13.0;+73432261852;;;Чкаловская;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/291582081/;Екатеринбург;sale;flat;1;3;3;73.69;7577055;2025;-1;-1;+73432261773;;;Чкаловская;Кварталы Конструктивизма ЖК
UP;https://ekb.cian.ru/sale/flat/293609579/;Екатеринбург;sale;flat;17;25;2;61.05;7520515;2024;20.0;20.0;+73432260931;Орджоникидзевский;;Проспект Космонавтов;Изумрудный Бор ЖК
Практика;https://ekb.cian.ru/sale/flat/293680612/;Екатеринбург;sale;flat;2;21;3;69.86;7520000;2025;34.0;-1;+73432261049;Орджоникидзевский;;;Квартал на Шефской ЖК
Прогресс;https://ekb.cian.ru/sale/flat/293363667/;Екатеринбург;sale;flat;2;24;1;39.17;7522000;2026;-1;-1;+73432261039;Верх-Исетский;переулок Встречный;Геологическая;Жилой Квартал Progress Встречный
Арсенал и К;https://ekb.cian.ru/sale/flat/293314532/;Екатеринбург;sale;flat;1;4;3;74.3;7560480;2023;61.0;7.0;+73432261649;;;Проспект Космонавтов;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/292809140/;Екатеринбург;sale;flat;6;25;2;70.1;7623748;2025;-1;-1;+73432261766;;;Чкаловская;Первый Академ ЖК
Практика;https://ekb.cian.ru/sale/flat/293688173/;Екатеринбург;sale;flat;3;24;3;78.08;7605000;2025;34.0;14.0;+73432260878;Чкаловский;Молодогвардейцев;Ботаническая;М1
Эталон;https://ekb.cian.ru/sale/flat/283487505/;Екатеринбург;sale;flat;2;22;3;64.8;7627176;2024;36.0;5.0;+73432261658;Железнодорожный;Сортировочный жилрайон;Уральская;Раута ЖК
НКС-Девелопмент;https://ekb.cian.ru/sale/flat/293138038/;Екатеринбург;sale;flat;15;25;3;75.7;7670000;2025;-1;-1;+73432260956;;;Чкаловская;Добрый ЖК
;https://ekb.cian.ru/sale/flat/292407316/;Екатеринбург;sale;flat;17;24;2;58.32;7670000;2025;-1;-1;+73432260972;Верх-Исетский;;;Семейный квартал Дружный ЖК
Практика;https://ekb.cian.ru/sale/flat/293415587/;Екатеринбург;sale;flat;9;21;2;75.38;7710000;2025;33.0;-1;+73432261049;Орджоникидзевский;;;Квартал на Шефской ЖК
Бессарабская 1;https://ekb.cian.ru/sale/flat/290015592/;Екатеринбург;sale;flat;1;9;3;85.6;7650000;2023;-1;-1;+73432261744;Октябрьский;Прибалтийская;Ботаническая;Юрмала
Правобережный;https://ekb.cian.ru/sale/flat/293107555/;Екатеринбург;sale;flat;3;12;3;78.66;7708680;2024;-1;-1;+73432261832;Орджоникидзевский;;Проспект Космонавтов;Мир Труд Май ЖК
Atlas Development;https://ekb.cian.ru/sale/flat/288636166/;Екатеринбург;sale;flat;23;31;1;39.2;7675589;2024;13.0;10.0;+73432261669;Октябрьский;Шатурская;Ботаническая;4YOU
Стройтэк;https://ekb.cian.ru/sale/flat/284347643/;Екатеринбург;sale;flat;2;18;3;64.96;7680000;2024;33.0;13.0;+73432261797;Железнодорожный;Сортировочный жилрайон;Уральская;Абрикос ЖК
TEN девелопмент;https://ekb.cian.ru/sale/flat/283650699/;Екатеринбург;sale;flat;10;31;3;72.9;7753000;2025;35.0;13.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
Виктория;https://ekb.cian.ru/sale/flat/285873720/;Екатеринбург;sale;flat;7;24;3;81.7;7843200;2024;36.0;-1;+73432261703;Чкаловский;;Ботаническая;Рижский ЖК
ID 104792185;https://ekb.cian.ru/sale/flat/293756547/;Екатеринбург;sale;flat;8;25;2;54.3;7764900;2025;-1;-1;+73432260867;Верх-Исетский;Викулова;Площадь 1905 года;Жилой квартал 
АТОМ;https://ekb.cian.ru/sale/flat/291448552/;Екатеринбург;sale;flat;27;30;2;63.09;7800000;2026;-1;-1;+73432261681;Чкаловский;;Ботаническая;Река.Дом на набережной ЖК
;https://ekb.cian.ru/sale/flat/292234931/;Екатеринбург;sale;flat;19;25;1;37.8;7815000;2025;10.0;15.0;+73432260876;Чкаловский;8 Марта;Чкаловская;Botanika Green House
Виктория;https://ekb.cian.ru/sale/flat/285874137/;Екатеринбург;sale;flat;20;24;3;80.8;7756800;2024;36.0;-1;+73432261703;Чкаловский;;Ботаническая;Рижский ЖК
Девелопмент-юг;https://ekb.cian.ru/sale/flat/291678415/;Екатеринбург;sale;flat;4;25;2;67.95;7814250;2025;29.0;19.0;+73432261769;;;Чкаловская;А Плюс ЖК
Астон;https://ekb.cian.ru/sale/flat/282341192/;Екатеринбург;sale;flat;2;23;2;60.6;7770000;2023;-1;-1;+73432261654;Чкаловский;;Ботаническая;Астон Сезоны ЖК
Астон;https://ekb.cian.ru/sale/flat/291938153/;Екатеринбург;sale;flat;19;23;2;54.1;7820000;2023;-1;-1;+73432261654;Чкаловский;;Ботаническая;Астон Сезоны ЖК
Астра;https://ekb.cian.ru/sale/flat/291361584/;Екатеринбург;sale;flat;14;31;1;42.2;7807000;2025;-1;-1;+73432261783;Верх-Исетский;Юго-Западный жилрайон;Площадь 1905 года;Даблхаус 1:1
РСГ-Академическое;https://ekb.cian.ru/sale/flat/289115624/;Екатеринбург;sale;flat;4;12;3;73.69;7756853;2025;-1;-1;+73432261781;;;Чкаловская;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/272165220/;Екатеринбург;sale;flat;26;31;2;55.9;7766858;2024;-1;-1;+73432261665;;;Чкаловская;
Ривьера-Инвест-Екб;https://ekb.cian.ru/sale/flat/277381004/;Екатеринбург;sale;flat;3;21;2;72.5;7757500;2024;-1;-1;+73432261713;Орджоникидзевский;Орловская;Уралмаш;Белая башня
Бессарабская 1;https://ekb.cian.ru/sale/flat/290015595/;Екатеринбург;sale;flat;2;9;3;79.4;7890000;2023;-1;-1;+73432261744;Октябрьский;Прибалтийская;Ботаническая;Юрмала
Астра;https://ekb.cian.ru/sale/flat/285755299/;Екатеринбург;sale;flat;6;26;3;75.11;7886550;2024;-1;-1;+73432261709;Верх-Исетский;;Площадь 1905 года;Новый ВИЗ ЖК
Стройтэк;https://ekb.cian.ru/sale/flat/290438076/;Екатеринбург;sale;flat;13;18;3;64.37;7860000;2024;33.0;12.0;+73432261797;Железнодорожный;Сортировочный жилрайон;Уральская;Абрикос ЖК
Брусника;https://ekb.cian.ru/sale/flat/293141789/;Екатеринбург;sale;flat;2;8;2;64.21;7980000;2025;24.0;22.0;+73432261653;Чкаловский;Павлодарская;Ботаническая;Шишимская горка
;https://ekb.cian.ru/sale/flat/293905798/;Екатеринбург;sale;flat;10;16;3;89.7;7983300;2025;-1;-1;+73432261883;;;Проспект Космонавтов;
;https://ekb.cian.ru/sale/flat/292407013/;Екатеринбург;sale;flat;2;24;3;65.27;7950000;2025;-1;-1;+73432260972;Верх-Исетский;;;Семейный квартал Дружный ЖК
;https://ekb.cian.ru/sale/flat/283514876/;Екатеринбург;sale;flat;31;32;2;66.0;7920000;2024;-1;-1;+73432261637;Орджоникидзевский;переулок Сосновый;Проспект Космонавтов;Парк Победы
РС-Девелопмент;https://ekb.cian.ru/sale/flat/292492910/;Екатеринбург;sale;flat;8;18;2;67.8;7980060;2025;-1;-1;+73432260930;Кировский;Александровская;Машиностроителей;Жилой дом 
;https://ekb.cian.ru/sale/flat/293648896/;Екатеринбург;sale;flat;3;25;2;68.75;7926000;2025;25.0;-1;+73432261631;Кировский;Комсомольский жилрайон;Динамо;Парк Каменные Палатки ЖК
;https://ekb.cian.ru/sale/flat/291650389/;Екатеринбург;sale;flat;17;25;2;63.23;7912320;2025;26.0;-1;+73432261631;Кировский;Комсомольский жилрайон;Динамо;Парк Каменные Палатки ЖК
45-й квартал;https://ekb.cian.ru/sale/flat/288664452/;Екатеринбург;sale;flat;4;4;2;57.75;7911750;2024;-1;-1;+73432261856;Ленинский;;Чкаловская;Твоя Привилегия ЖК
Прогресс;https://ekb.cian.ru/sale/flat/290335861/;Екатеринбург;sale;flat;11;18;2;54.41;7950000;2026;-1;-1;+73432261768;;;Чкаловская;Прогресс.Академический ЖК
Стройтэк;https://ekb.cian.ru/sale/flat/287589312/;Екатеринбург;sale;flat;9;25;2;53.08;7935939;2025;25.0;14.0;+73432261779;Чкаловский;;;Грин Гарден ЖК
Стройтэк;https://ekb.cian.ru/sale/flat/293206066/;Екатеринбург;sale;flat;10;17;3;68.76;7976160;2023;38.0;12.0;+73432261852;;;Чкаловская;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292233900/;Екатеринбург;sale;flat;5;25;1;44.7;7900000;2023;13.0;20.0;+73432261745;Чкаловский;;Чкаловская;Ботаника Лайф ЖК
АТОМ;https://ekb.cian.ru/sale/flat/293747516/;Екатеринбург;sale;flat;14;20;2;75.69;8000000;2025;-1;-1;+73432261834;Чкаловский;;Ботаническая;Просторы ЖК
РСГ-Академическое;https://ekb.cian.ru/sale/flat/272165171/;Екатеринбург;sale;flat;23;31;3;66.19;8109903;2024;-1;-1;+73432261665;;;Чкаловская;
